                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.6469,                0.90401,                 1.0966,                0.80912,                0.74374,                0.83935,                0.48082,                 1.6159,                0.88238,                  1.074,             0.00094235,             0.00094235,             0.00094235
                     49,                 1.6296,                0.90274,                 1.0882,                 0.7458,                0.81058,                0.84222,                0.48002,                 1.6277,                0.88141,                  1.075,             0.00093868,             0.00093868,             0.00093868
                     50,                 1.6332,                0.88637,                 1.1022,                0.83763,                0.83866,                0.88506,                0.47656,                  1.592,                0.85068,                  1.084,             0.00093502,             0.00093502,             0.00093502
                     51,                 1.6182,                0.85295,                 1.0906,                0.85941,                0.82419,                0.88844,                0.49142,                  1.603,                 0.8467,                 1.0823,             0.00093135,             0.00093135,             0.00093135
                     52,                 1.6263,                0.85245,                 1.0957,                0.80499,                 0.8354,                0.84246,                0.47988,                 1.6707,                0.89258,                 1.0911,             0.00092769,             0.00092769,             0.00092769
                     53,                 1.6011,                0.83565,                 1.0627,                0.83321,                0.85014,                0.86984,                0.49509,                 1.6033,                0.89387,                 1.0741,             0.00092402,             0.00092402,             0.00092402
                     54,                 1.6364,                0.85596,                 1.0696,                0.79448,                0.84938,                0.86337,                0.49737,                 1.5698,                 0.8969,                 1.0611,             0.00092035,             0.00092035,             0.00092035
                     55,                  1.602,                0.85921,                 1.0474,                0.77572,                0.78525,                0.84226,                 0.4842,                 1.6275,                0.94022,                  1.069,             0.00091669,             0.00091669,             0.00091669
                     56,                 1.5452,                0.82962,                 1.0466,                0.85466,                0.76473,                0.86488,                0.49233,                 1.5917,                0.88487,                  1.068,             0.00091302,             0.00091302,             0.00091302
                     57,                   1.55,                0.81345,                 1.0704,                0.87724,                0.76762,                0.86633,                0.51641,                 1.5614,                0.82813,                 1.0568,             0.00090935,             0.00090935,             0.00090935
                     58,                 1.5582,                0.86635,                 1.0534,                0.80295,                0.85001,                 0.8641,                0.50526,                 1.5843,                0.83001,                  1.064,             0.00090569,             0.00090569,             0.00090569
                     59,                 1.5624,                0.80663,                 1.0492,                0.85302,                0.82964,                0.87927,                0.52126,                 1.5281,                0.83687,                 1.0481,             0.00090202,             0.00090202,             0.00090202
                     60,                 1.5435,                0.78487,                 1.0377,                0.77651,                0.82614,                0.86248,                0.51317,                  1.583,                0.85033,                 1.0648,             0.00089835,             0.00089835,             0.00089835
                     61,                  1.579,                0.83644,                 1.0766,                0.78253,                0.82119,                0.83847,                0.51298,                 1.5409,                0.85269,                 1.0457,             0.00089469,             0.00089469,             0.00089469
                     62,                 1.5668,                  0.798,                 1.0791,                0.79715,                0.82514,                0.85853,                0.50008,                 1.5671,                0.87388,                 1.0604,             0.00089102,             0.00089102,             0.00089102
                     63,                 1.6082,                0.82414,                 1.0644,                0.83464,                0.81403,                0.85644,                0.50044,                 1.5686,                0.88159,                 1.0678,             0.00088736,             0.00088736,             0.00088736
                     64,                 1.5784,                0.80535,                 1.0552,                0.82472,                0.79893,                0.84457,                0.52152,                 1.5235,                0.85382,                 1.0445,             0.00088369,             0.00088369,             0.00088369
                     65,                 1.5249,                0.78033,                  1.041,                0.78729,                  0.803,                0.83026,                0.50761,                 1.5486,                0.87057,                 1.0505,             0.00088002,             0.00088002,             0.00088002
                     66,                 1.5297,                0.80531,                 1.0506,                 0.8367,                0.76751,                0.82201,                0.49859,                 1.6287,                0.83964,                 1.0618,             0.00087636,             0.00087636,             0.00087636
                     67,                 1.5677,                0.81874,                  1.055,                0.84868,                0.79711,                0.84636,                0.51799,                 1.5703,                0.81637,                 1.0482,             0.00087269,             0.00087269,             0.00087269
                     68,                  1.551,                0.80276,                 1.0557,                0.81271,                0.83674,                0.88257,                0.52496,                 1.5092,                0.79538,                 1.0367,             0.00086902,             0.00086902,             0.00086902
                     69,                 1.5059,                 0.7677,                 1.0349,                0.83629,                0.82156,                 0.8979,                0.54124,                 1.4929,                0.79204,                 1.0308,             0.00086536,             0.00086536,             0.00086536
                     70,                 1.5153,                0.78497,                 1.0626,                0.84786,                0.81876,                0.88606,                0.51764,                 1.5389,                0.78717,                 1.0506,             0.00086169,             0.00086169,             0.00086169
                     71,                 1.5186,                0.77106,                  1.026,                0.92756,                0.82145,                0.89895,                0.53793,                 1.4772,                0.78188,                 1.0297,             0.00085803,             0.00085803,             0.00085803
                     72,                 1.5172,                0.76643,                 1.0373,                0.93458,                0.82523,                0.91359,                0.54497,                 1.4604,                0.75559,                 1.0253,             0.00085436,             0.00085436,             0.00085436
                     73,                 1.4816,                0.76013,                 1.0308,                0.89157,                0.84246,                0.90346,                0.54368,                  1.487,                0.76122,                 1.0329,             0.00085069,             0.00085069,             0.00085069
                     74,                 1.5094,                0.76009,                 1.0422,                0.76178,                0.85094,                0.85543,                0.49722,                 1.5281,                0.84031,                  1.048,             0.00084703,             0.00084703,             0.00084703
                     75,                 1.4549,                0.76995,                 1.0543,                0.82529,                0.80206,                0.87567,                0.51981,                  1.504,                0.83515,                 1.0331,             0.00084336,             0.00084336,             0.00084336
                     76,                 1.4969,                0.75762,                 1.0194,                0.79642,                0.83694,                0.88897,                0.50852,                 1.5082,                0.79194,                 1.0388,             0.00083969,             0.00083969,             0.00083969
                     77,                 1.5031,                0.76015,                 1.0247,                0.86417,                0.82005,                0.88902,                 0.5313,                  1.487,                 0.7742,                 1.0312,             0.00083603,             0.00083603,             0.00083603
                     78,                 1.4795,                 0.7668,                 1.0245,                0.82404,                0.86291,                0.90479,                0.56922,                 1.4923,                0.77206,                 1.0166,             0.00083236,             0.00083236,             0.00083236
                     79,                 1.4878,                0.76192,                  1.018,                0.88213,                0.84228,                0.91796,                0.56457,                 1.4386,                0.77648,                 1.0031,             0.00082869,             0.00082869,             0.00082869
                     80,                 1.4741,                0.78336,                 1.0127,                0.87177,                0.82592,                0.90618,                0.54343,                 1.4689,                0.79869,                  1.012,             0.00082503,             0.00082503,             0.00082503
                     81,                 1.4575,                0.75951,                0.99989,                0.84427,                0.83377,                0.89174,                0.53978,                  1.485,                0.78959,                 1.0101,             0.00082136,             0.00082136,             0.00082136
                     82,                 1.4748,                0.75512,                 1.0094,                0.86003,                 0.8671,                0.89471,                0.54088,                 1.4623,                0.77199,                 1.0087,              0.0008177,              0.0008177,              0.0008177
                     83,                  1.441,                0.75769,                 1.0196,                0.84426,                0.86075,                0.89609,                  0.545,                 1.4119,                0.74965,                0.99726,             0.00081403,             0.00081403,             0.00081403
                     84,                 1.4475,                0.73829,                 1.0033,                0.87675,                0.87024,                0.91212,                0.55423,                 1.4273,                0.75826,                 1.0074,             0.00081036,             0.00081036,             0.00081036
                     85,                 1.3964,                0.72561,                0.99614,                0.85046,                0.87999,                 0.9024,                0.55614,                   1.48,                0.77144,                 1.0192,              0.0008067,              0.0008067,              0.0008067
                     86,                 1.4831,                0.77351,                 1.0222,                0.79945,                0.90039,                0.90404,                0.57172,                   1.45,                0.75326,                 1.0117,             0.00080303,             0.00080303,             0.00080303
                     87,                 1.4136,                0.73948,                 1.0102,                0.84635,                0.86399,                0.92034,                0.57484,                 1.4088,                0.73863,                0.99849,             0.00079936,             0.00079936,             0.00079936
                     88,                 1.4538,                0.74034,                0.99906,                0.80545,                0.86437,                0.88605,                0.55499,                 1.4207,                0.78014,                 1.0127,              0.0007957,              0.0007957,              0.0007957
                     89,                 1.3738,                0.71763,                0.98783,                0.89335,                0.78297,                0.87538,                0.55794,                 1.4095,                0.79265,                0.99334,             0.00079203,             0.00079203,             0.00079203
                     90,                 1.3936,                0.74566,                0.98711,                0.79603,                0.85454,                0.85416,                0.53613,                 1.4584,                0.78049,                 1.0002,             0.00078837,             0.00078837,             0.00078837
                     91,                 1.4146,                0.71924,                0.98129,                0.82275,                0.88319,                0.88118,                0.55912,                 1.4689,                0.78208,                 1.0031,              0.0007847,              0.0007847,              0.0007847
                     92,                 1.4198,                0.74355,                0.99057,                0.82237,                0.89506,                0.92949,                 0.6001,                 1.3652,                0.75738,                0.99113,             0.00078103,             0.00078103,             0.00078103
                     93,                 1.3761,                0.70803,                0.97681,                0.80638,                0.86346,                 0.9149,                0.58969,                 1.3528,                0.74772,                0.98619,             0.00077737,             0.00077737,             0.00077737
                     94,                 1.3884,                0.71072,                0.96247,                 0.8648,                0.82264,                 0.8946,                0.56066,                 1.4526,                0.76719,                 0.9986,              0.0007737,              0.0007737,              0.0007737
                     95,                 1.3575,                0.70746,                0.95991,                0.84058,                0.88299,                0.89429,                0.57542,                 1.4085,                0.75424,                0.99039,             0.00077003,             0.00077003,             0.00077003
                     96,                 1.3507,                0.71684,                0.98068,                0.83785,                0.87995,                0.88506,                0.58896,                 1.3143,                 0.6997,                0.96985,             0.00076637,             0.00076637,             0.00076637
                     97,                 1.3766,                0.72137,                0.96446,                0.86757,                0.85251,                 0.8933,                0.58865,                 1.3299,                0.70825,                0.96858,              0.0007627,              0.0007627,              0.0007627
                     98,                 1.3465,                 0.6963,                0.98897,                0.88165,                0.85413,                0.89397,                0.59772,                 1.3097,                0.71329,                0.97196,             0.00075904,             0.00075904,             0.00075904
                     99,                 1.3289,                0.69122,                0.96137,                0.88921,                0.84293,                0.90606,                0.59367,                 1.3044,                0.71431,                0.96691,             0.00075537,             0.00075537,             0.00075537
                    100,                 1.3002,                0.68142,                0.95722,                0.83822,                0.91169,                0.91292,                0.59283,                  1.338,                0.68517,                0.97162,              0.0007517,              0.0007517,              0.0007517
                    101,                  1.303,                0.65682,                0.96788,                 0.8419,                0.87393,                0.90687,                0.60638,                 1.2961,                0.67996,                0.95911,             0.00074804,             0.00074804,             0.00074804
                    102,                 1.2965,                0.66139,                0.95648,                0.87187,                0.88424,                0.91141,                0.60508,                   1.32,                0.69974,                0.96329,             0.00074437,             0.00074437,             0.00074437
                    103,                 1.2874,                0.66521,                0.94767,                0.84818,                0.92055,                0.92464,                0.60702,                 1.3391,                0.71659,                0.96843,              0.0007407,              0.0007407,              0.0007407
